,Comment,KOREAN / ÇÑ±¹¾î,ENGLISH,JAPANESE / ìíÜâåŞ,SIMPLIFIED CHINESE / ??ñéÙş,TRADITIONAL CHINESE / Ûåô÷ñéÙş,GERMAN / DEUTSCH,SPANISH / ESPANOL,PORTUGUESE / PORTUGUES (BR),RUSSIAN / ¬²¬µ¬³¬³¬¬¬ª¬«,POLISH / POLSKI,FRENCH / FRANCAIS
npc/fox/rescue/chat/1/1,,³Êµµ ¿©±â±îÁö ¿À¸é¼­ ±×°Å ¸ø ´À²¼¾î?,Haven't you noticed that?,ªªîñªâª³ª³ªŞªÇ?ªëÔ²ñéªÇÊïª¸ªÊª«ªÃª¿ª«£¿,??????ì¤?ãÀÜôãÀå¥óÌ?Öõ£¿,?ÕÎîÏ×ëîÜÖØß¾ÙÒêóÊïÊÆÓğ?£¿,Ist dir das schon aufgefallen?,¢¯No te habias fijado?,Voce nao achou isso?,¬´¬í ¬ß¬Ö ¬Ù¬Ñ¬Ş¬Ö¬é¬Ñ¬İ?,Nie zauwa?y©©e? tego?,Tu avais remarque ?
npc/fox/rescue/chat/2/0,,°¡±â Àü¿¡ ¸Ó¸®µé Á» ¸ğ¾Æ¾ß°Ú¾î. ³õ°í ¿Â °Ô ³Ê¹« ¸¹¾Æ.,"Before I go, I'd better collect some heads. I've left too many of them behind.",ú¼ª¯îñªËÔéªòó¢ªáªëù±é©ª¬ª¢ªëªÊ¡£öÇª¤ªÆª­ª¿Úªª¬Òıª¹ª®ªëªóªÀ¡£,õó?ñıîñÔğÒıâ¥ó¢ŞÁ??¡£?ÒıÔ´?êó???¡£,ËÛñıîñä²Ôğà»â½ó¢ìéù»Ôé£¬ä²á´ÓáÖõ?ÒıÔÔà¤¡£,"Ich sollte ein paar Kopfe sammeln, bevor ich gehe. Ich habe schon zu viele zuruckgelassen.","Antes de irme, deberia recoger algunas cabezas. Me he dejado un monton por ahi tiradas.","Antes de ir, e melhor coletar algumas cabecas. Eu deixei demasiadas para tras.",¬±¬Ö¬â¬Ö¬Õ ¬å¬ç¬à¬Õ¬à¬Ş ¬ã¬à¬Ò¬Ö¬â¬å ¬á¬Ñ¬â¬å ¬Ô¬à¬İ¬à¬Ó. ¬³¬İ¬Ú¬ê¬Ü¬à¬Ş ¬å¬Ø ¬Ş¬ß¬à¬Ô¬à ¬à¬ã¬ä¬Ñ¬Ó¬Ú¬İ ¬ñ ¬á¬à¬Ù¬Ñ¬Õ¬Ú.,"Zanim pojd?, pozbieram troch? ©©bow. Zbyt wiele ich zostawi©©em.","Avant de partir, il faut que je recupere quelques tetes. J'en ai trop laisse derriere moi."
npc/fox/rescue/chat/2/1,,±Ùµ¥ ³Ê ¸Ó¸®°¡ ¾î¶»°Ô ´Ş·ÁÀÖ´Â °Å³Ä?,"By the way, how do you keep your head in that condition?",ªÈª³ªíªÇ¡¢ªªîñªÎÔéªÏªÉª¦ªäªÃªÆª¯ªÃªÄª¤ªÆªëªóªÀ£¿,Üô??îÜ?ãÀ??äÌß¾îÜ£¿,ÜôÎ¦?îÜÔéãÀ??ÎĞß¾ËÛîÜ£¿,"Wie gelingt es dir eigentlich, deinen Kopf in diesem Zustand zu erhalten?","Por cierto, ¢¯como haces tu para conservar la cabeza tan bien?","A proposito, como e que voce mantem sua cabeca nessa condicao?","¬¬¬ã¬ä¬Ñ¬ä¬Ú, ¬Ü¬Ñ¬Ü ¬ä¬Ö¬Ò¬Ö ¬å¬Õ¬Ñ¬Ö¬ä¬ã¬ñ ¬å¬Õ¬Ö¬â¬Ø¬Ú¬Ó¬Ñ¬ä¬î ¬Ô¬à¬İ¬à¬Ó¬å ¬Ó ¬ä¬Ñ¬Ü¬à¬Ş ¬á¬à¬İ¬à¬Ø¬Ö¬ß¬Ú¬Ú?","A swoj? drog?, jak utrzymujesz swoj? g©©ow? w takim stanie?","Au fait, comment fais-tu pour garder une tete dans cet etat ?"
npc/fox/line/0,,ÃàÃàÇÑ ¸¶¿Õ¼ºº¸´Ü ÀüÀåÀÌ ÁÁ¾Æ.,I prefer battlefields than the damp Demon King Castle.,?ªÃªİª¤ØªèİªÎàòªèªêªÏ?íŞªÎÛ°ª¬ª¤ª¤ªè¡£,ßÓİï??îÜØªèİàò£¬ä²ÌÚıì???¡£,İïÑÃğÍ?îÜØªèİàò£¬ä²ÌÚıìü¶îúíŞ¡£,Ich ziehe Schlachtfelder dem muffigen Schloss des Damonenkonigs vor.,Yo soy mas de campos de batalla. El castillo del rey demonio es muy humedo.,Eu prefiro campos de batalha a espelunca do Castelo do Rei Demonio.,"¬µ¬Ø ¬İ¬å¬é¬ê¬Ö ¬ß¬Ñ ¬á¬à¬İ¬Ö ¬Ò¬à¬ñ, ¬é¬Ö¬Ş ¬Ó ¬ï¬ä¬à¬Ş ¬Ù¬Ñ¬ä¬ç¬İ¬à¬Ş ¬Ù¬Ñ¬Ş¬Ü¬Ö ¬Ü¬à¬â¬à¬İ¬ñ ¬Õ¬Ö¬Ş¬à¬ß¬à¬Ó.",Wol? pole walki ni? zawilg©©y Zamek Krola Demonow.,Je prefere les champs de bataille au chateau humide du Roi-demon.
npc/fox/line/1,,Á¶±İ¸¸ ´õ ¸ğ¾ÒÀ¸¸é 132°³ÀÎµ¥...,I was close to collecting 132 heads...,ª¢ªÈá´ª·ó¢ªáªìªĞ132ËÁªÊªÎªË¡¦,î¢â¥ó¢ìéïÃ£¬ö¦132?Öõ¡¦¡¦,î¢Òıâ½ó¢ìéïÇîÜü¥£¬ö¦êó132ËÁÖõ¡¦,Ich hatte schon beinahe 132 Kopfe beisammen ...,Estaba a esto de llegar a 132 cabezas...,Estava perto de coletar 132 cabecas...,¬Á ¬å¬Ø¬Ö ¬á¬à¬é¬ä¬Ú ¬ã¬à¬Ò¬â¬Ñ¬İ 132 ¬Ô¬à¬İ¬à¬Ó¬í...,By©©em bliski zebrania 132 g©©ow.,J'etais sur le point de ramasser 132 tetes...
npc/fox/line/2,,¿©¿ì ¸Â¾Æ. ´Á´ë´Â ¾Æ´Ï°í.,"I'm a fox, not a wolf.",ûÏªÇùêªÃªÆªëªè¡£«ª«ª«««ßª¸ªãªÊª¯ªÆ¡£,ãÀûÏ×á¡£ÜôãÀÕÉ¡£,ãÀûÏ×áÙÒó¹£¬ÜôãÀÕÉ¡£,"Ich bin ein Fuchs, kein Wolf.","Soy un zorro, no un lobo.","Eu sou uma raposa, nao um lobo.","¬Á ¬İ¬Ú¬ã, ¬Ñ ¬ß¬Ö ¬Ó¬à¬İ¬Ü.","Jestem lisem, nie wilkiem.","Je suis un renard, pas un loup."
npc/fox/line/3,,¿©±â¼­ ºÒÀÌ¶óµµ Á» ÂØ´ø°¡.,You can come warm yourself by the fire.,ª³ª³ªÇªÁªçªÃªÈûıªËª¢ª¿ªìªè¡£,??×ì??ûı?¡£,ÜôæÔÕÎûıîÜÛ±Ü«ö¢ìéù»Ñì¡£,"Komm, warm dich am Feuer auf.","Si quieres, puedes calentarte frente al fuego.",Voce pode vir se aquecer junto ao fogo.,¬®¬à¬Ø¬Ö¬ê¬î ¬á¬à¬Ô¬â¬Ö¬ä¬î¬ã¬ñ ¬å ¬à¬Ô¬ß¬ñ.,Mo?esz przyj?? ogrza? si? przy moim ogniu.,Viens te rechauffer pres du feu.
npc/fox/line/level1/0,,"¾îÈŞ, ½Ã²ô·¯¿ö.","Geez, so loud!",ªÃª¿ª¯¡¢ª¦ªëªµª¤ªÊ¡£,?£¬?ŞİÖõ¡£,?ãÀîÜ£¬?ŞİÖõ¡£,"Puh, so laut!",¢¯Pero que alboroto es este?,"Nossa, que barulho!","¬µ¬Ø¬Ñ¬ã, ¬Ü¬Ñ¬Ü ¬Ô¬â¬à¬Ş¬Ü¬à!","¨©oooo, g©©o?no!","Oula, c'est fort !"
npc/fox/line/level2/0,,"Á¨Àå, »óÃ³°¡ ³´Áú ¾Ê´Â±¸¸Õ.","Dang, my injuries are not healing.",«Á«¯«·«ç«¦¡¢ß¿ª¬ö½ªéªÍ?ªÊ¡£,Ê¦?£¬áô?îÜò¢Û°ìéïÃÔ´?êóû¿?¡£,Ê¦äÂ£¬ß¿Ï¢Ô´û¿ÜôÖõ¡£,"Verdammt, meine Wunden heilen nicht.","Cachis, mis heridas no sanan.","Raios, minhas lesoes nao estao curando.","¬±¬â¬à¬Ü¬İ¬ñ¬ä¬î¬Ö, ¬Ş¬à¬Ú ¬â¬Ñ¬ß¬í ¬ß¬Ö ¬Ù¬Ñ¬Ø¬Ú¬Ó¬Ñ¬ğ¬ä.","Niech to diabli, moje rany si? nie goj?!","Zut, mes blessures ne guerissent pas."
npc/fox/line/level3/0,,"¾îÂî ÀÌ·¸°Ô »¡¸® Áş´ÂÁö, ¸¶¹ıÀÇ ÈûÀÎ°¡?",How do they build them so quickly? Are they using magic?,ª³ªóªÊªËğÄª¯ËïªÆªëªÊªóªÆ¡¢ØªÛöªÎÕôªÊªÎª«£¿,??ËïğãîÜ??öá£¬ãÀØªÛöîÜÕôÕá?£¿,??ÒöËÏîÏ?öá£¿îÏãÀØªÛöîÜÕôÕá?£¿,Wie bauen sie sie nur so schnell? Wenden sie Zauberei an?,¢¯Como hacen para construir tan rapido? ¢¯Estaran usando magia?,Como as construiram tao rapido? Estao usando magia?,¬¬¬Ñ¬Ü ¬à¬ß¬Ú ¬å¬Ş¬å¬Õ¬â¬Ú¬İ¬Ú¬ã¬î ¬ä¬Ñ¬Ü ¬Ò¬í¬ã¬ä¬â¬à ¬Ú¬ç ¬á¬à¬ã¬ä¬â¬à¬Ú¬ä¬î? ¬°¬ß¬Ú ¬Ú¬ã¬á¬à¬İ¬î¬Ù¬å¬ğ¬ä ¬Ş¬Ñ¬Ô¬Ú¬ğ?,Jakim cudem wybudowali je tak szybko? U?ywali magii?,Comment font-ils pour construire aussi vite ? Utilisent-ils la magie ?
npc/fox/line/level3/1,,¾îµğ°¡ ²¿¸Í¾Æ.,"Where are you going, kiddo?",ªÉª³ú¼ª¯ªóªÀªè¡¢ªÁªÓğ¾¡£,á³Ê«?£¬ËÛ?£¿,?ËÛ?×ë£¿á³Ğ¡¡£,"Wohin gehst du, Kleiner?","¢¯A donde vas, chaval?","Onde voce esta indo, moleque?","¬¬¬å¬Õ¬Ñ ¬ß¬Ñ¬á¬â¬Ñ¬Ó¬İ¬ñ¬Ö¬ê¬î¬ã¬ñ, ¬Ş¬Ñ¬İ¬í¬ê?",Dok?d idziesz dzieciaku?,"Ou vas-tu, petit ?"
npc/fox/greeting/0,,¾ÆÁ÷µµ ³ª¿¡°Ô º¼ÀÏÀÌ ³²¾Ò³ª?,Do you still have business with me?,ªŞªÀåïªËéÄª¬ª¢ªëªÎª«£¿,??ä²êóŞÀ?£¿,?ü½êóä§?ŞÀâÍé©ä²?£¿,Willst du noch etwas von mir?,¢¯Sigues queriendo cuentas conmigo?,Voce ainda tem negocios comigo?,¬µ ¬ä¬Ö¬Ò¬ñ ¬Ö¬ë¬Ö ¬Ö¬ã¬ä¬î ¬Ü¬à ¬Ş¬ß¬Ö ¬Õ¬Ö¬İ¬à?,Nadal masz co? do mnie?,On a encore des choses a voir ensemble ?
npc/fox/greeting/1,,³× ³à¼®ÀÌ ¸Ó¸®ÅëÀ» °¥¾Æ³¢¿ìµç ¸»µç Áß¿äÇÏÁö ¾Ê¾Æ.,I don't care if you switch heads or not.,ªªîñªÎÔéªòÜõª±ôğª¨ªèª¦ª¬ªÉª¦ª·ªèª¦ª¬¡¢ñìé©ª¸ªãªÊª¤¡£,?ôğ???£¬?ä²??ìéïÃÔ´Üôñìé©¡£,ÜôÎ·?îÏ??ãÀÜôãÀé©üµìéÎ¨Ôé£¬ÑáÜôñìé©¡£,"Ist mir egal, ob du Kopfe wechselst oder nicht.",Me da igual que cambies o no de cabeza.,Nao me interessa se voce troca de cabecas ou nao.,"¬±¬İ¬Ö¬Ó¬Ñ¬ä¬î ¬Ş¬ß¬Ö, ¬Ş¬Ö¬ß¬ñ¬Ö¬ê¬î ¬ä¬í ¬Ô¬à¬İ¬à¬Ó¬å ¬Ú¬İ¬Ú ¬ß¬Ö¬ä.","Nie obchodzi mnie, czy wymieniasz g©©owy, czy nie.",Je me fiche que tu puisses changer de tete.
npc/fox/greeting/2,,³Í ³×°¡ Æ¯º°ÇÏ´Ù°í »ı°¢ÇÏ³Ä? ÀÌ ¼º¿¡ ÀÖ´Â »ç¶÷µé Áß ±×Á¤µµ Æ¯º°ÇÏÁö ¾ÊÀº ÀÚ°¡ ¾îµğ ÀÖÁö?,You think you're special? Is there anyone in this castle who isn't?,ªªîñªÏí»İÂª¬÷åÜ¬ªÀªÈŞÖª¦ªÎª«£¿ª³ªÎàòªËª¤ªëìÑªÎñéªÇ¡¢ª½ªìªÛªÉ÷åÜ¬ª¸ªãªÊª¤ªäªÄª¬ªÉª³ªËª¤ªë£¿,??Ôğ??÷å??£¿?àò×ìØü£¬ÓŞİ»İÂÔ´??ìé??¡£,?ÊÆÔğ??÷åÜ¬?£¿îÏñ¨àòñıñéêóìÑãÀÜô÷åÜ¬îÜ?£¿,"Du haltst dich wohl fur was Besonderes, oder? Sind nicht alle in diesem Schloss irgendwie besonders?",¢¯Te crees especial o algo? ¢¯Quien no lo es en este castillo?,Voce acha que e especial? Ha alguem nesse castelo que nao seja?,"¬¥¬å¬Ş¬Ñ¬Ö¬ê¬î, ¬ä¬í ¬à¬ã¬à¬Ò¬Ö¬ß¬ß¬í¬Û? ¬¡ ¬Ü¬ä¬à ¬Ó ¬ï¬ä¬à¬Ş ¬Ù¬Ñ¬Ş¬Ü¬Ö ¬ß¬Ö ¬ä¬Ñ¬Ü¬à¬Û?","Uwa?asz, ?e jeste? wyj?tkowy? Czy w tym zamku jest kto? niewyj?tkowy?",Tu te crois special ? Qui ne l'est pas dans ce chateau ?
npc/fox/GiveHead/0,,±×°Å º°·Î ÁÁ¾Æ º¸ÀÌÁø ¾Ê³×. ÀÌ°Ô ´õ ¾î¿ï·Á.,That doesn't look very good. This is better.,ª½ªìªÏª¢ªŞªêÕŞªµª½ª¦ª¸ªãªÊª¤ªÊ¡£ª³ªÃªÁªÎÛ°ª¬ŞÄùêª¦ªè¡£,Ñá?Ê×ÑÃ?Üô÷¼û¿£¬??ÌÚùêÎÁ¡£,ÑáËÁÊ×ÑÃÕÎÜô÷¼û¿£¬îÏËÁÌÚùêîê¡£,Das sieht nicht sehr gut aus. Das ist besser.,"Sinceramente, no tiene muy buena pinta. Asi mejor.",Isso nao parece ser muito bom. Isto e melhor.,¬£¬à¬ä ¬ï¬ä¬Ñ ¬ß¬Ö ¬à¬é¬Ö¬ß¬î ¬ã¬Ş¬à¬ä¬â¬Ú¬ä¬ã¬ñ. ¬¡ ¬ï¬ä¬Ñ ¬å¬Ø¬Ö ¬İ¬å¬é¬ê¬Ö.,To nie wygl?da dobrze. Tak jest lepiej.,Cela n'a pas l'air terrible. C'est mieux.
npc/fox/GiveHead/1,,"¸ğÀ» ¶§´Â ÇÑÂü °É·È´Âµ¥, ÀÌ·¸°Ô ÇÏ³ª¾¿ ³ª´²ÁÖ´Ù º¸¸é ±İ¹æ ¶³¾îÁö´õ¶ó.","It took me ages to collect all this, but it only took a moment to give them away.",ó¢ªáªëãÁªÏãÁÊàª¬ª«ª«ªÃª¿ªÎªË¡¢ª³ª¦ªäªÃªÆìéªÄªºªÄİÂª±ªÆª¿ªéª¢ªÃªÈª¤ª¦ÊàªËªÊª¯ªÊªÃªÁªãª¦ªóªÀ¡£,â¥ó¢îÜ?ı¦£¬á¼ÙÄÖõ??îÜ??¡£Ó£ãÀßÀ??İÂÛÕı¨£¬?ß¾ö¦á¶í¥Ùé?Öõ¡£,â½ó¢îÜãÁı¦ü£û¿ÒıãÁÊà£¬îÏåÆí­ìéìÑİÂìéËÁ£¬û¿öáö¦İÂèÇÖõ¡£,"Ich habe lange gebraucht, um all dies zu sammeln, aber es zu verschenken, nahm nur einen kurzen Moment in Anspruch.",Anos y anos amasando esta fortuna... para ahora renunciar a ella en un abrir y cerrar de ojos.,"Demorei imenso tempo a coletar tudo isso, mas apenas foi necessario um momento para dar todos eles.",¬Á ¬è¬Ö¬İ¬å¬ğ ¬Ó¬Ö¬é¬ß¬à¬ã¬ä¬î ¬Ú¬ç ¬ã¬à¬Ò¬Ú¬â¬Ñ¬İ. ¬¡ ¬à¬ä¬Õ¬Ñ¬İ ¬Ù¬Ñ ¬à¬Õ¬ß¬å ¬ã¬Ö¬Ü¬å¬ß¬Õ¬å.,"Zebranie tego wszystkiego zabra©©o wieki, ale roztrwoni©©em to w okamgnieniu.","Il m'a fallu une eternite pour rassembler tout cela, mais il n'aura fallu qu'un instant pour tout donner."
npc/fox/GiveHead/2,,±× ¾ó±¼·Î ¹Û¿¡ ³ª°¡°Ú´Ù°í? ³ó´ãÀÌÁö?,"You want to go outside with that kind of face on you? You're kidding, right?",ª½ªÎäÔªÇèâªËõóªëªÃªÆ£¿é·ÓÈªÀªí£¿,éÄÑáÜù?õóËÛ?£¿?èÌáÅ?£¿,?ßÌì¤Ñáíå?õóËÛèâØü£¿?î¤ËÒèÌáÅ?£¿,"Willst du mit dem Gesicht wirklich rausgehen? Das ist ein Witz, oder?","¢¯Esa es la cara que quieres mostrarle al mundo? Sera broma, ¢¯no?","Voce quer sair com esse tipo de rosto? Voce esta zoando, certo?","¬·¬à¬é¬Ö¬ê¬î ¬Ó¬í¬Û¬ä¬Ú ¬ß¬Ñ ¬å¬İ¬Ú¬è¬å ¬ã ¬ä¬Ñ¬Ü¬Ú¬Ş ¬İ¬Ú¬è¬à¬Ş? ¬´¬í ¬é¬ä¬à, ¬ê¬å¬ä¬Ú¬ê¬î?","Chcesz wyj?? na zewn?trz z tak? twarz?, ?artujesz, prawda?","Tu veux sortir avec cette tete-la ? Tu plaisantes, j'espere ?"
npc/fox/GiveHead/3,,¸Ó¸®¸¦ °¥¾Æ ³¢¿î´Ù´Ï ¿ô±â´Â ³ğÀÌ¾ß. ÀÌ°É·Îµµ ÇÑ¹ø ÇØºÁ.,Swapping heads? You're funny. Try this one.,ÔéªòÜõª±ôğª¨ªëªÊªóªÆØüÛÜª¤ªäªÄªÀªÊ¡£ª³ªìªÇªâìéÓøªäªÃªÆªßªíªè¡£,ÌåæÔ????ËÛ£¬?ãÀ?Ê¦áÅîÜÊ«?¡£éÄ??å¥???¡£,üµìéÎ¨Ôé£¿??û¿áÅ£¬?å¥ãËãËÊ×îÏËÁ¡£,Kopfe tauschen? Du bist witzig. Versuch einmal diesen hier.,¢¯Intercambiar cabezas? Eres la monda. Pruebate esta.,Trocar de cabecas? Voce e divertido. Experimente essa.,¬®¬Ö¬ß¬ñ¬Ö¬ê¬î ¬Ô¬à¬İ¬à¬Ó¬í? ¬¡ ¬ä¬í ¬Ù¬Ñ¬Ò¬Ñ¬Ó¬ß¬í¬Û. ¬±¬â¬Ú¬Ş¬Ö¬â¬î ¬ï¬ä¬å.,Wymieniasz g©©owy? Zabawny jeste?. Przymierz t?.,Echanger nos tetes ? Tu es drole. Essaie celle-ci.
npc/fox/GiveExtraHead/label,,¸Ó¸® ¹Ş±â,Get Skull,Ôéªòáôª±ö¢ªë,?ö¢??,ÖÅö¢Ôé,Kopf abholen,Obtener esta calavera,Conseguir Caveira,¬±¬à¬İ¬å¬é¬Ú¬ä¬î ¬é¬Ö¬â¬Ö¬á,¨©ap Czaszk?,Prendre le crane
npc/fox/GiveExtraHead/0,,"½ºÄÌ·¹Åæ ÁÖÁ¦¿¡ ¿å½ÉÀº ¿À¿ì°Å±ŞÀÌ±º. ÁÁ¾Æ, ±× µ¹À» ³»³ö. {0}°³¸¦ ÁÖ¸é ÇÏ³ª ´õ ÁÖÁö.","For a skeleton, you're as greedy as an ogre. Alright, give me your stones. Give me {0}, and I'll give you one more.",«¹«±«ë«È«óªÎª¯ª»ªËé°ØĞªÏ«ª?«¬ĞäªÀªÊ¡£ªèª·¡¢ª½ªÎà´ªòÔ¤ª»¡£{0}ËÁª¯ªìª¿ªéªâª¦ìéªÄªäªëªè¡£,??ìé???£¬ÌåæÔØÍßÌãÀãİìÑØª??¡£û¿?£¬÷êÑá?à´?Îßõó??¡£?ä²?{0}îÜ?£¬î¢??ìé?¡£,Ù¥Ù¥ãÀ??£¬ËÜæÔ?ãİìÑØªìéåÆ÷±ãı¡£û¿£¬ÎßõóÑáËÁà´Ôé¡£Ğåä²{0}ËÁîÜü¥£¬ä²üåÒıĞå?ìéËÁ¡£,"So gierig wie du bist, benimmst du dich eher wie ein Oger als wie ein Skelett. Na schon, gib mir deine Steine. Gib mir {0}, dann gebe ich dir noch einen.","Para ser un esqueleto, tienes la codicia de un ogro. Venga, dame tus piedras. Dame {0} y te dare otra mas.","Para um esqueleto, voce e tao ganancioso como um ogre. Muito bem, me de suas pedras. Me de {0}, e eu lhe darei mais uma.","¬¥¬İ¬ñ ¬ã¬Ü¬Ö¬İ¬Ö¬ä¬Ñ ¬ä¬í ¬Ø¬Ñ¬Õ¬ß¬í¬Û, ¬Ü¬Ñ¬Ü ¬à¬Ô¬â. ¬¯¬å ¬ç¬à¬â¬à¬ê¬à, ¬Õ¬Ñ¬Ó¬Ñ¬Û ¬ã¬Ó¬à¬Ú ¬Ü¬Ñ¬Ş¬ß¬Ú. ¬¥¬Ñ¬Û ¬Ş¬ß¬Ö {0}, ¬Ú ¬ñ ¬Õ¬Ñ¬Ş ¬ä¬Ö¬Ò¬Ö ¬Ö¬ë¬Ö 1.","Jak na szkielet, jeste? tak chciwy jak ogr. Dobra, daj mi swoje kamienie. Daj mi {0}, a dam ci o jeden wi?cej.","Pour un squelette, tu es aussi rapace qu'un ogre. Tres bien, donne-moi ses pierres. Donne-m'en {0} et je t'en donnerai une de plus."
npc/fox/GiveExtraHead/NoMoney/0,,³×³à¼®Àº ³ª¿Í °Å·¡ÇÒ ÁØºñ°¡ µÇ¾îÀÖÁö ¾ÊÀº °Í °°±º,I don't think you're ready to trade with me.,ªªîñªÏåïªÈö¢ìÚª¹ªëñŞİáª¬ªÇª­ªÆª¤ªÊª¤ªèª¦ªÀªÊ¡£,??Ê«?û¿ßÀ?êóñ×?û¿?ä²Îßæ¶¡£,Ê×ÕÎ?îÏ??ü½ÙÒñŞİáû¿?ä²Îßæ¶?£¡,"Ich glaube nicht, dass du bereit bist, mit mir zu handeln.",Creo que no estas preparado para hacer negocios conmigo.,Eu nao acho que voce esteja pronto para negociar comigo.,"¬¯¬Ö ¬Õ¬å¬Ş¬Ñ¬ğ, ¬é¬ä¬à ¬ä¬í ¬Ô¬à¬ä¬à¬Ó ¬Ü ¬ã¬Õ¬Ö¬İ¬Ü¬Ö ¬ã¬à ¬Ş¬ß¬à¬Û.","Chyba nie jeste? gotowy, by ze mn? handlowa?.",Je crois que tu n'es pas pret a faire affaire avec moi.
npc/fox/chat/0/0,,ÀÎ°£ ³ğµé ¸Ó¸®ÅëÀº ¿Ö ÀÌ·¸°Ô ÀÛÀº °ÅÁö? ¾Æ±âÀÚ±âÇÑ ¸ÀÀÌ ÀÖ¾î °è¼Ó ¸ğÀ¸°Ô µÈ´Ù°í.,"Why do humans have such small heads? They're so cute, I want every single one of them.",ìÑÊàªÎªäªÄªéªÏù¼ªÇª³ªóªÊªËÔéª¬á³ªµª¤ªóªÀ£¿Ê¦äñªéª·ª¤ªÈª³ªíª¬ª¢ªëª«ªé¡¢ªÄª¤ó¢ªáªÁªãª¦ªóªÀªè¡£,ìÑ?îÜ???ä§?Ñá?á³£¿??á³??Ê×ó·?Ê¦?£¬Ì­ÑÃÖõä²îÜâ¥ó¢é°¡£,ìÑ×¾îÜÔé?ä§?îÏ?á³£¿Ê×ÑÃÕÎû¿ïñÎåÊ¦äñ£¬åÓä²ßÌÜôÓ¨â½ó¢¡£,"Wieso haben Menschen eigentlich so kleine Kopfe? Die sind so niedlich, ich will sie alle haben!",¢¯Por que tendran los humanos esas cabecitas tan pequenas? Son tan monas... las quiero todas.,"Por que e que os humanos tem cabecas tao pequenas? Sao tao lindinhos, eu quero todos eles.","¬±¬à¬é¬Ö¬Ş¬å ¬å ¬İ¬ğ¬Õ¬Ö¬Û ¬ä¬Ñ¬Ü¬Ú¬Ö ¬Ş¬Ñ¬İ¬Ö¬ß¬î¬Ü¬Ú¬Ö ¬Ô¬à¬İ¬à¬Ó¬í? ¬°¬ß¬Ú ¬ä¬Ñ¬Ü¬Ú¬Ö ¬Ş¬Ú¬İ¬í¬Ö, ¬ñ ¬ç¬à¬é¬å ¬Ú¬ç ¬ã¬Ö¬Ò¬Ö ¬Ó¬ã¬Ö ¬Õ¬à ¬à¬Õ¬ß¬à¬Û.","Dlaczego ludzie maj? takie ma©©e g©©owy? S? ?liczne, chc? je wszystkie.","Pourquoi les humains ont-ils de si petites tetes ? Elles sont si mignonnes, je les veux toutes."
npc/fox/chat/0/1,,"ÇÑ¶§´Â ±×´ë·Î °¡Á®¿Í¼­ ¹ÚÁ¦ÇÏ´Â ¹æ¹ıÀ» »ç¿ëÇØºÃ´Âµ¥, ¸¶¿Õ´Ô²² Å©°Ô È¥³­ ÀÌÈÄ·Ğ ¹ÚÁ¦´Â ¾È ÇØ.",Once I tried to stuff them whole. I stopped since His Majesty ripped me a new one.,îñªÏª½ªÎªŞªŞò¥ªÃªÆª­ªÆ?ğ²ªËª·ªÆª¿ªóªÀª±ªÉ¡¢Øªèİ?ªËŞÖª¤ªÃª­ªêÒÁªéªìªÆª«ªé?ğ²ªËªÏª·ªÆªÊª¤ªóªÀ¡£,ñıîñ?ŞÅéÄ?òÁïÈ?ğ¤îÜÛ°Ûö£¬Ó£ãÀí»?ù¬ØªèİÓŞìÑ??ı¨£¬ö¦î¢å¥Üô?ğ¤Öõ¡£,ä²ñôÌèÑÚÕÎñ®à÷øöÜâ£¬Ó£ù¬ØªèİÓŞìÑÓŞØáìéÔËı­£¬ä²ö¦Üôñ®øöÜâÖõ¡£,"Ich habe mal versucht, sie auszustopfen. Seine Majestat hat mir ziemlich den Kopf gewaschen, da habe ich damit lieber wieder aufgehort.","En una ocasion, intente rellenar una con cosas. Pero tuve que parar porque su majestad me arranco una nueva.",Uma vez tentei rechear todos eles. Parei uma vez que Sua Majestade me arrancou um novo.,"¬°¬Õ¬ß¬Ñ¬Ø¬Õ¬í ¬ñ ¬á¬à¬á¬í¬ä¬Ñ¬İ¬ã¬ñ ¬Ú¬ç ¬é¬Ö¬Ş-¬ä¬à ¬ß¬Ñ¬Ò¬Ú¬ä¬î. ¬¯¬à ¬Ò¬à¬İ¬î¬ê¬Ö ¬ä¬Ñ¬Ü ¬ß¬Ö ¬Õ¬Ö¬İ¬Ñ¬ğ, ¬á¬à¬ä¬à¬Ş¬å ¬é¬ä¬à ¬¦¬Ô¬à ¬£¬Ö¬İ¬Ú¬é¬Ö¬ã¬ä¬Ó¬à ¬Ù¬Ñ ¬ï¬ä¬à ¬Ù¬Õ¬à¬â¬à¬Ó¬à ¬ß¬Ñ¬Ş¬í¬İ¬Ú¬İ ¬Ş¬ß¬Ö ¬ê¬Ö¬ğ.","Kiedy? probowa©©em wypcha? je do pe©©na. Zaprzesta©©em, gdy Jego Wysoko?? udzieli©© mi reprymendy.",J'ai essaye de les empailler en entier. J'ai arrete quand Sa Majeste m'en a dechire une toute neuve.
